epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,14580.1,0.50602,0.33946,1.00865,0.98111,0.97816,0.99054,0.93331,0.39001,0.22044,0.86981,0.000242249,0.000242249,0.000242249
59,14829.4,0.50676,0.33529,1.00704,0.97853,0.98747,0.99043,0.9337,0.39326,0.21261,0.86786,0.000236745,0.000236745,0.000236745
60,15079,0.5009,0.33107,1.00103,0.98011,0.98925,0.99119,0.93752,0.3726,0.20211,0.85944,0.00023124,0.00023124,0.00023124
61,15329.2,0.49622,0.33248,0.9999,0.96939,0.99217,0.99034,0.93886,0.37327,0.20926,0.85887,0.000225736,0.000225736,0.000225736
62,15578.5,0.48973,0.33028,0.99602,0.97454,0.98824,0.99045,0.93939,0.36906,0.20444,0.85913,0.000220232,0.000220232,0.000220232
63,15828.2,0.48768,0.32755,0.99537,0.97848,0.99043,0.99206,0.94439,0.35806,0.20061,0.85271,0.000214727,0.000214727,0.000214727
64,16078.9,0.47977,0.32179,1.00027,0.97329,0.99045,0.9908,0.94215,0.3641,0.20608,0.85882,0.000209223,0.000209223,0.000209223
65,16327.5,0.46604,0.31445,0.98713,0.97197,0.99049,0.9897,0.9445,0.35917,0.2147,0.85268,0.000203718,0.000203718,0.000203718
66,16577.2,0.47212,0.30939,0.99406,0.97255,0.99429,0.99194,0.94769,0.3519,0.19293,0.85067,0.000198214,0.000198214,0.000198214
67,16827.8,0.46384,0.30955,0.99168,0.97856,0.99026,0.99136,0.94606,0.34967,0.19376,0.85103,0.00019271,0.00019271,0.00019271
68,17077.7,0.46286,0.30437,0.99129,0.98457,0.99208,0.991,0.94483,0.36019,0.19381,0.85795,0.000187205,0.000187205,0.000187205
69,17328.1,0.46123,0.30339,0.98503,0.97677,0.98998,0.99156,0.94871,0.34494,0.19367,0.84704,0.000181701,0.000181701,0.000181701
70,17578.5,0.4634,0.30808,0.98269,0.97803,0.988,0.99156,0.94781,0.34517,0.1947,0.84966,0.000176196,0.000176196,0.000176196
71,17828,0.45476,0.29808,0.97923,0.97994,0.99214,0.99236,0.95436,0.33718,0.18413,0.84,0.000170692,0.000170692,0.000170692
72,18078,0.45105,0.29496,0.98149,0.98028,0.98819,0.9905,0.94986,0.3375,0.18948,0.84832,0.000165188,0.000165188,0.000165188
73,18328.6,0.43398,0.29253,0.97244,0.98054,0.98485,0.99038,0.9533,0.33098,0.19132,0.84702,0.000159683,0.000159683,0.000159683
74,18577,0.44684,0.29848,0.98292,0.9771,0.99046,0.99037,0.95712,0.32463,0.18365,0.84044,0.000154179,0.000154179,0.000154179
75,18825.5,0.44267,0.29252,0.98001,0.97756,0.99074,0.99075,0.95585,0.32309,0.17955,0.84461,0.000148674,0.000148674,0.000148674
76,19074.6,0.42982,0.28647,0.97162,0.96826,0.9865,0.98777,0.95186,0.33127,0.20767,0.85287,0.00014317,0.00014317,0.00014317
77,19323.6,0.42641,0.28518,0.97333,0.97829,0.98667,0.99006,0.95716,0.32092,0.18731,0.84224,0.000137666,0.000137666,0.000137666
78,19573.1,0.42451,0.28681,0.9718,0.97998,0.99001,0.99135,0.95881,0.31369,0.17785,0.83436,0.000132161,0.000132161,0.000132161
79,19823.2,0.41808,0.28094,0.96362,0.97897,0.98722,0.99039,0.95825,0.31189,0.18241,0.83504,0.000126657,0.000126657,0.000126657
80,20072.4,0.41908,0.27778,0.97009,0.98107,0.98988,0.99079,0.9578,0.31192,0.17823,0.83694,0.000121152,0.000121152,0.000121152
81,20321.4,0.4143,0.27491,0.96366,0.97718,0.99294,0.9912,0.95766,0.31255,0.17496,0.83893,0.000115648,0.000115648,0.000115648
82,20570.2,0.41023,0.27654,0.96767,0.98093,0.99378,0.99139,0.96104,0.30583,0.17562,0.83093,0.000110144,0.000110144,0.000110144
83,20820.6,0.40657,0.27581,0.95946,0.97682,0.99166,0.99094,0.96112,0.30654,0.18109,0.83461,0.000104639,0.000104639,0.000104639
84,21070.4,0.40255,0.27149,0.9622,0.98049,0.99146,0.99132,0.96153,0.29707,0.16817,0.82994,9.91348e-05,9.91348e-05,9.91348e-05
85,21319.5,0.39949,0.2699,0.95835,0.98098,0.99075,0.99104,0.96334,0.29805,0.17356,0.82882,9.36304e-05,9.36304e-05,9.36304e-05
86,21569.5,0.3933,0.26359,0.96393,0.97926,0.99291,0.9919,0.96421,0.2953,0.16415,0.82833,8.8126e-05,8.8126e-05,8.8126e-05
87,21819.9,0.38856,0.25872,0.95681,0.97937,0.99176,0.9905,0.96138,0.29893,0.17426,0.8352,8.26216e-05,8.26216e-05,8.26216e-05
88,22068.9,0.38403,0.25872,0.95286,0.97849,0.99213,0.99105,0.96317,0.29388,0.16744,0.8312,7.71172e-05,7.71172e-05,7.71172e-05
89,22318.4,0.37891,0.25184,0.95091,0.97776,0.99549,0.9905,0.96554,0.28761,0.16583,0.82612,7.16128e-05,7.16128e-05,7.16128e-05
90,22568.9,0.38132,0.25632,0.95114,0.9803,0.99319,0.99208,0.96593,0.28283,0.1597,0.82329,6.61084e-05,6.61084e-05,6.61084e-05
